Denomination_ID,Denomination_Name,Denomination_Family,Founded_Year,Founded_Century,Region_Origin,Is_Active,Est_Members_Global,Description,Major_Proponents,GOD_01_Answer,GOD_01_Certainty,GOD_01_Tolerance,GOD_04_Answer,GOD_04_Certainty,GOD_04_Tolerance,SCR_01_Answer,SCR_01_Certainty,SCR_01_Tolerance,SCR_02_Answer,SCR_02_Certainty,SCR_02_Tolerance,SCR_07_Answer,SCR_07_Certainty,SCR_07_Tolerance,SCR_09_Answer,SCR_09_Certainty,SCR_09_Tolerance,SAL_03_Answer,SAL_03_Certainty,SAL_03_Tolerance,SAL_06_Answer,SAL_06_Certainty,SAL_06_Tolerance,SAL_07_Answer,SAL_07_Certainty,SAL_07_Tolerance,SAL_08_Answer,SAL_08_Certainty,SAL_08_Tolerance,SAL_14_Answer,SAL_14_Certainty,SAL_14_Tolerance,CHR_01_Answer,CHR_01_Certainty,CHR_01_Tolerance,CHR_09_Answer,CHR_09_Certainty,CHR_09_Tolerance,CHR_10_Answer,CHR_10_Certainty,CHR_10_Tolerance,CHR_13_Answer,CHR_13_Certainty,CHR_13_Tolerance,SAC_02_Answer,SAC_02_Certainty,SAC_02_Tolerance,SAC_03_Answer,SAC_03_Certainty,SAC_03_Tolerance,WOR_05_Answer,WOR_05_Certainty,WOR_05_Tolerance,WOR_06_Answer,WOR_06_Certainty,WOR_06_Tolerance,WOR_08_Answer,WOR_08_Certainty,WOR_08_Tolerance,WOR_20_Answer,WOR_20_Certainty,WOR_20_Tolerance,WOR_21_Answer,WOR_21_Certainty,WOR_21_Tolerance,ESC_02_Answer,ESC_02_Certainty,ESC_02_Tolerance,ESC_06_Answer,ESC_06_Certainty,ESC_06_Tolerance,ESC_07_Answer,ESC_07_Certainty,ESC_07_Tolerance,ETH_01_Answer,ETH_01_Certainty,ETH_01_Tolerance,ETH_05_Answer,ETH_05_Certainty,ETH_05_Tolerance,ETH_06_Answer,ETH_06_Certainty,ETH_06_Tolerance,ETH_09_Answer,ETH_09_Certainty,ETH_09_Tolerance,MET_03_Answer,MET_03_Certainty,MET_03_Tolerance,MET_04_Answer,MET_04_Certainty,MET_04_Tolerance,CHR_19_Answer,CHR_19_Certainty,CHR_19_Tolerance,Column 107
DENOM_001,The Apostolic Church (Early Church),Early Christianity & Sects,c. 30 AD,1st,Judea (Jerusalem),FALSE,0,"The original community of Jesus' followers; initially a sect within Second Temple Judaism practicing temple worship, communal living, and adherence to the Torah while proclaiming Jesus as Messiah.","Peter, James the Just, John the Apostle","One God existing as three distinct, co-equal persons",Leaning,Discerning,God foresees the future without controlling it,Pretty Sure,Discerning,Scripture plus ongoing new revelation,Certain,Opposed,Words superintended by God through humans,Pretty Sure,Discerning,New Canon-Level Scripture Possible,Certain,Opposed,A unique messenger or governing body,Certain,Opposed,A victory over death and evil powers,Pretty Sure,Charitable,God initiates salvation; the weakened human will must actively strive to align with it,Leaning,Discerning,A conditional legal declaration through trusting Christ alone,Pretty Sure,Discerning,"Faith, repentance, and water baptism",Pretty Sure,Opposed,"Yes, conscious faith in Christ during this life is strictly required",Certain,Opposed,The visible covenant community of God,Pretty Sure,Discerning,"No, succession is carried by faithful doctrine and an ordered ministry",Pretty Sure,Discerning,Christ alone mediates; every believer has direct access,Certain,Opposed,"Women may be ordained as deacons, but not as pastors or priests",Not Sure,Discerning,It is a means of grace that directly causes new birth and washes away sin,Leaning,Discerning,"Believers making a conscious, personal profession of faith",Pretty Sure,Discerning,"Seeking a tangible, supernatural manifestation, Emotions are a valid response, but truth and order must lead",Pretty Sure,Discerning,All religious images of the divine must be strictly avoided,Certain,Opposed,"Active today, but practiced with careful order",Certain,Discerning,"Mother of God, but had other children and is not prayed to",Not Sure,Charitable,"Honored as historical examples, but we pray only to God",Pretty Sure,Discerning,"No, the Church endures the entire future tribulation",Leaning,Discerning,"Immediate, conscious presence with God in heaven",Leaning,Discerning,"A state of eternal, conscious separation and suffering",Not Sure,Discerning,"The teachings of Jesus, discerned by the local community",Pretty Sure,Discerning,"Six literal days and a recent, young creation",Certain,Opposed,Absolute refusal of violence and military service,Pretty Sure,Opposed,Both same-sex attraction and the acts are inherently sinful,Certain,Opposed,The Bible is scientifically and historically accurate as written,Certain,Opposed,"Embodying the peaceful, counter-cultural reign of God on earth",Pretty Sure,Discerning,Never; schism is a grave sin that tears the Body of Christ,Certain,Opposed,
DENOM_002,Pauline Communities (Gentile Christianity),Early Christianity & Sects,c. 40s AD,1st,Antioch / Asia Minor / Greece,FALSE,0,"The network of churches established by Paul; characterized by the inclusion of Gentiles without the requirement of circumcision or strict Torah observance, emphasizing justification by faith.","Paul of Tarsus, Timothy, Titus, Luke","One God existing as three distinct, co-equal persons, Two divine persons (Father & Son); the Spirit is power",Pretty Sure,Opposed,God decrees the outcome but works through free human choices,Leaning,Discerning,Scripture plus ongoing new revelation,Certain,Opposed,Words superintended by God through humans,Pretty Sure,Discerning,Authoritative prophecy & Gifts continues for the Church,Certain,Opposed,A unique messenger or governing body,Certain,Opposed,"A legal substitution for punishment, A victory over death and evil powers",Certain,Discerning,"God gives faith as a pure gift, but humans can reject it, God initiates salvation; the weakened human will must actively strive to align with it",Leaning,Discerning,"A conditional legal declaration through trusting Christ alone, A permanent legal declaration through trusting Christ alone",Certain,Opposed,Personal faith and inward repentance alone,Certain,Opposed,"Yes, conscious faith in Christ during this life is strictly required",Pretty Sure,Opposed,"A gathered, voluntary community of true believers",Certain,Discerning,"No, succession is carried by faithful doctrine and an ordered ministry",Pretty Sure,Discerning,Christ alone mediates; every believer has direct access,Certain,Opposed,"Women may be ordained as deacons, but not as pastors or priests, No, all formal leadership and teaching roles are reserved for men",Leaning,Discerning,"It is a means of grace that directly causes new birth and washes away sin, It is a visible sign and seal of God's covenant promises",Pretty Sure,Discerning,"Believers making a conscious, personal profession of faith",Certain,Opposed,"Seeking a tangible, supernatural manifestation, Emotions are a valid response, but truth and order must lead",Certain,Discerning,All religious images of the divine must be strictly avoided,Certain,Opposed,"Active today, but practiced with careful order",Certain,Opposed,"Mother of God, but had other children and is not prayed to",Not Sure,Charitable,"Honored as historical examples, but we pray only to God",Pretty Sure,Discerning,"No, the Church endures the entire future tribulation",Pretty Sure,Discerning,"Immediate, conscious presence with God in heaven",Pretty Sure,Discerning,"A state of eternal, conscious separation and suffering, Complete destruction and cessation of existence",Leaning,Discerning,"The direct commands and precepts of the Bible alone, The direct, inward leading of the Holy Spirit",Pretty Sure,Discerning,"Six literal days and a recent, young creation",Certain,Opposed,Absolute refusal of violence and military service,Pretty Sure,Discerning,Both same-sex attraction and the acts are inherently sinful,Certain,Opposed,The Bible is scientifically and historically accurate as written,Certain,Opposed,"Knowing Jesus personally and making disciples of all nations, Embodying the peaceful, counter-cultural reign of God on earth",Pretty Sure,Discerning,Never; schism is a grave sin that tears the Body of Christ,Certain,Opposed,
DENOM_003,Johannine Community,Early Christianity & Sects,c. 90 AD,1st,Asia Minor (Ephesus),FALSE,0,"A distinct network of communities producing the Johannine corpus (Gospel/Epistles); emphasized high Christology (Logos), pneumatic spirituality, and dualistic language (light/dark).","The ""Beloved Disciple"", John the Elder","One God existing as three distinct, co-equal persons",Leaning,Salvation issue,God decrees the outcome but works through free human choices,Not Sure,Discerning,Scripture guided by immediate inward revelation,Certain,Opposed,Words superintended by God through humans,Leaning,Discerning,Authoritative prophecy & Gifts continues for the Church,Certain,Opposed,The individual believer,Certain,Opposed,A victory over death and evil powers,Pretty Sure,Discerning,"God provides sufficient grace to all, but provides special grace to the elect that guarantees free response",Pretty Sure,Discerning,A progressive healing and union with God's life,Certain,Opposed,"Personal faith and inward repentance alone, Faith, active love, and participation in the sacraments",Leaning,Opposed,"Yes, conscious faith in Christ during this life is strictly required",Certain,Salvation issue,"A gathered, voluntary community of true believers",Pretty Sure,Opposed,"No, an unbroken line of human leaders is irrelevant",Certain,Opposed,Christ alone mediates; every believer has direct access,Certain,Opposed,The church does not ordain formal clergy of either gender,Certain,Opposed,It is a means of grace that directly causes new birth and washes away sin,Leaning,Discerning,"Believers making a conscious, personal profession of faith",Pretty Sure,Opposed,Heartfelt sincerity within a structured service,Not Sure,Discerning,All religious images of the divine must be strictly avoided,Pretty Sure,Opposed,"Active today, flowing freely and ecstatically",Leaning,Discerning,"Mother of God, but had other children and is not prayed to",Not Sure,Charitable,"Honored as historical examples, but we pray only to God",Pretty Sure,Opposed,"No, tribulation is the ongoing experience of the Church",Certain,Opposed,"Immediate, conscious presence with God in heaven",Certain,Opposed,"A state of eternal, conscious separation and suffering",Pretty Sure,Opposed,"The teachings of Jesus, discerned by the local community",Certain,Opposed,"An inspired theological framework, not a science book",Leaning,Discerning,Absolute refusal of violence and military service,Pretty Sure,Discerning,Both same-sex attraction and the acts are inherently sinful,Pretty Sure,Opposed,"The Bible teaches faith perfectly, using ancient concepts and worldview",Leaning,Discerning,"Seeking direct, unmediated union with the Divine",Certain,Discerning,Never; schism is a grave sin that tears the Body of Christ,Certain,Opposed,
DENOM_004,Nazarenes,Early Christianity & Sects,c. 70 AD,1st,Coele-Syria / Pella,FALSE,0,Jewish Christians who fled Jerusalem to Pella; accepted the Virgin Birth and Paul’s mission (to Gentiles) but continued to observe the Mosaic Law themselves and used a Hebrew/Aramaic Gospel.,Unknown leaders (Pella refugees),"One God existing as three distinct, co-equal persons",Leaning,Opposed,God foresees the future without controlling it,Not Sure,Discerning,Scripture as the sole infallible rule,Pretty Sure,Opposed,Words superintended by God through humans,Leaning,Discerning,Prophetic gifts continue but are subject to Scripture,Not Sure,Charitable,The gathered community together,Pretty Sure,Opposed,A victory over death and evil powers,Leaning,Discerning,"God provides the Gospel, which humans naturally can accept",Leaning,Discerning,A foundational grace completed by strict obedience,Certain,Opposed,"Faith, repentance, and water baptism",Pretty Sure,Opposed,"Yes, conscious faith in Christ during this life is strictly required",Certain,Salvation issue,The visible covenant community of God,Pretty Sure,Discerning,"No, succession is carried by faithful doctrine and an ordered ministry",Pretty Sure,Opposed,Christ alone mediates; every believer has direct access,Certain,Opposed,"No, all formal leadership and teaching roles are reserved for men",Certain,Opposed,It is a means of grace that directly causes new birth and washes away sin,Pretty Sure,Discerning,"Believers making a conscious, personal profession of faith",Pretty Sure,Discerning,Worship must be strictly reverent and objective,Leaning,Discerning,All religious images of the divine must be strictly avoided,Certain,Salvation issue,"Active today, but practiced with careful order",Not Sure,Discerning,"Mother of God, but had other children and is not prayed to",Not Sure,Charitable,"Honored as historical examples, but we pray only to God",Pretty Sure,Opposed,"No, the Church endures the entire future tribulation",Pretty Sure,Discerning,Unconscious sleep until the bodily resurrection,Leaning,Discerning,"A state of eternal, conscious separation and suffering",Pretty Sure,Discerning,The direct commands and precepts of the Bible alone,Certain,Opposed,"Six literal days and a recent, young creation",Certain,Opposed,Absolute refusal of violence and military service,Pretty Sure,Discerning,Both same-sex attraction and the acts are inherently sinful,Certain,Salvation issue,The Bible is scientifically and historically accurate as written,Certain,Opposed,Separating from worldly corruption to pursue strict holiness,Pretty Sure,Discerning,When a church officially teaches or tolerates significant doctrinal error,Certain,Discerning,
DENOM_005,Ebionites,Early Christianity & Sects,c. 100 AD,2nd,Transjordan / Syria,FALSE,0,"The Poor; a strict Jewish-Christian sect that rejected the Virgin Birth (adoptionist), rejected Paul as an apostate, required vegetarianism and poverty, and emphasized the Law.",Symmachus the Ebionite,One God who adopted the human Jesus as His Son,Certain,Salvation issue,God foresees the future without controlling it,Leaning,Discerning,Scripture interpreted through a prophetic lens,Certain,Salvation issue,A human record of religious experience,Pretty Sure,Opposed,All supernatural revelation has ended with the apostles,Leaning,Opposed,A unique messenger or governing body,Pretty Sure,Opposed,A symbolic or mythic representation of truth,Pretty Sure,Opposed,"God provides the Gospel, which humans naturally can accept",Pretty Sure,Opposed,A foundational grace completed by strict obedience,Certain,Salvation issue,Initial faith followed by a life of perseverance,Certain,Salvation issue,"Yes, conscious faith in Christ during this life is strictly required",Pretty Sure,Salvation issue,The visible covenant community of God,Pretty Sure,Opposed,"No, succession is carried by faithful doctrine and an ordered ministry",Leaning,Opposed,Christ alone mediates; every believer has direct access,Leaning,Opposed,"No, all formal leadership and teaching roles are reserved for men",Pretty Sure,Opposed,It is the specific moment a repentant believer receives formal pardon,Pretty Sure,Opposed,"Believers making a conscious, personal profession of faith",Pretty Sure,Opposed,Worship must be strictly reverent and objective,Leaning,Discerning,All religious images of the divine must be strictly avoided,Certain,Salvation issue,They ended with the apostles,Leaning,Opposed,A natural human mother; the virgin birth is not literal,Certain,Salvation issue,Unconscious in death and awaiting the resurrection,Leaning,Opposed,"No, the Church endures the entire future tribulation",Leaning,Opposed,Unconscious sleep until the bodily resurrection,Pretty Sure,Opposed,"A state of eternal, conscious separation and suffering",Pretty Sure,Opposed,The direct commands and precepts of the Bible alone,Certain,Salvation issue,"Six literal days and a recent, young creation",Pretty Sure,Opposed,Absolute refusal of violence and military service,Certain,Salvation issue,Both same-sex attraction and the acts are inherently sinful,Certain,Salvation issue,The Bible contains human errors and requires critical study,Pretty Sure,Opposed,Separating from worldly corruption to pursue strict holiness,Certain,Salvation issue,When a church officially teaches or tolerates significant doctrinal error,Certain,Discerning,
DENOM_006,Elchasaites,Gnosticism & Early Heresies,c. 100 AD,2nd,Mesopotamia,FALSE,0,"A syncretic baptist sect emphasizing repeated immersions for sin; blended Jewish Law with Gnostic elements, astrology, and a belief in the cyclic incarnation of the ""True Prophet.""",Elchasai,One God (Father); Jesus was a created human Messiah,Certain,Opposed,God determines every event; humans have no independent will,Leaning,Opposed,Scripture plus a founder's foundational writings,Certain,Salvation issue,Words dictated directly by God,Pretty Sure,Opposed,New Canon-Level Scripture Possible,Certain,Opposed,A unique messenger or governing body,Certain,Opposed,,Certain,Opposed,,,,"A declaration enacted at the moment of water baptism, A foundational grace completed by strict obedience",Certain,Salvation issue,"Faith, repentance, and water baptism",Certain,Salvation issue,"Yes, conscious faith in Christ during this life is strictly required",Leaning,Opposed,An exclusively restored divine organization,Pretty Sure,Opposed,"No, true authority was lost and had to be restored",Pretty Sure,Opposed,Christ alone mediates; every believer has direct access,Leaning,Discerning,"No, all formal leadership and teaching roles are reserved for men",Pretty Sure,Opposed,It is a means of grace that directly causes new birth and washes away sin,Certain,Salvation issue,"Believers making a conscious, personal profession of faith",Pretty Sure,Opposed,"Seeking a tangible, supernatural manifestation",Pretty Sure,Discerning,All religious images of the divine must be strictly avoided,Certain,Salvation issue,"Active today, flowing freely and ecstatically",Pretty Sure,Opposed,A natural human mother; the virgin birth is not literal,Pretty Sure,Opposed,Unconscious in death and awaiting the resurrection,Leaning,Discerning,"No, the Church endures the entire future tribulation",Leaning,Opposed,Reincarnation into a new earthly life,Certain,Opposed,Complete destruction and cessation of existence,Leaning,Opposed,The direct commands and precepts of the Bible alone,Certain,Salvation issue,"Six literal days and a recent, young creation",Pretty Sure,Opposed,Absolute refusal of violence and military service,Leaning,Opposed,Both same-sex attraction and the acts are inherently sinful,Certain,Opposed,Material science is irrelevant; ultimate truth is purely spiritual,Leaning,Discerning,Separating from worldly corruption to pursue strict holiness,Pretty Sure,Opposed,When a church officially teaches or tolerates significant doctrinal error,Certain,Discerning,
DENOM_007,Ante-Nicene Church,Early Christianity & Sects,c. 180 AD,2nd,Mediterranean Basin,FALSE,0,"The emerging consensus of the majority church; defined by apostolic succession, the rule of faith, the fourfold Gospel canon, and opposition to Gnosticism; the direct ancestor of modern Catholicism and Orthodoxy.","Irenaeus, Tertullian, Cyprian, Origen","One God existing as three distinct, co-equal persons",Certain,Salvation issue,God foresees the future without controlling it,Certain,Discerning,Scripture and Tradition as one inseparable authority,Certain,Opposed,Words superintended by God through humans,Pretty Sure,Discerning,Prophetic gifts continue but are subject to Scripture,Certain,Discerning,A living teaching office in historic succession,Certain,Opposed,"A healing and perfection of human nature, A victory over death and evil powers",Certain,Discerning,God initiates salvation; the weakened human will must actively strive to align with it,Certain,Opposed,A progressive healing and union with God's life,Pretty Sure,Discerning,"Faith, active love, and participation in the sacraments",Certain,Salvation issue,"Yes, conscious faith in Christ during this life is strictly required, Christ is the only Savior, but His grace may reach those who do not know Him",Pretty Sure,Discerning,"A visible, global institution and mystical body",Certain,Discerning,"Yes, an unbroken chain of bishops is required",Certain,Opposed,"Christ uniquely mediates, but through the ordained priesthood and heavenly saints",Certain,Opposed,"Women may be ordained as deacons, but not as pastors or priests",Certain,Discerning,It is a means of grace that directly causes new birth and washes away sin,Certain,Salvation issue,Infants of believers and unbaptized converts,Certain,Opposed,"Emotions are a valid response, but truth and order must lead",Pretty Sure,Discerning,"Art is acceptable as decoration, but not as an aid for prayer",Pretty Sure,Discerning,"Active today, but practiced with careful order",Pretty Sure,Discerning,"Born with original sin, Mother of God, ever-virgin, and prayed to, Mother of God and ever-virgin, but not prayed to",Pretty Sure,Discerning,Honored members of the Church who intercede for us,Certain,Discerning,"No, the Church endures the entire future tribulation, No, tribulation is the ongoing experience of the Church",Certain,Discerning,"Immediate judgment, followed by heaven or temporary purification",Pretty Sure,Discerning,"A state of eternal, conscious separation and suffering, A temporary, remedial state leading to ultimate salvation",Pretty Sure,Discerning,"An innate moral order and conscience, guided by the Church",Pretty Sure,Discerning,"Six literal days and a recent, young creation, An inspired theological framework, not a science book",Certain,Discerning,Absolute refusal of violence and military service,Certain,Discerning,"Same-sex attraction is a non-sinful temptation, but acts are sinful",Certain,Opposed,The Bible and science are both true and must be harmonized,Pretty Sure,Discerning,Receiving grace through the Church's sacramental life,Certain,Discerning,Never; schism is a grave sin that tears the Body of Christ,Certain,Opposed,
DENOM_008,Simonians,Gnosticism & Early Heresies,c. 50 AD,1st,Samaria,FALSE,0,"Regarded as the first heretical sect by Church Fathers; followers of Simon Magus who allegedly claimed to be the ""Great Power"" of God and practiced magic; a precursor to later Gnosticism.","Simon Magus, Menander",One God who plays three different roles or modes,Certain,Salvation issue,A distant High God; the material world is flawed or evil,Certain,Salvation issue,Scripture interpreted through a prophetic lens,Certain,Opposed,A purely human product with no divine involvement,Certain,Opposed,New Canon-Level Scripture Possible,Certain,Opposed,A unique messenger or governing body,Certain,Opposed,A symbolic or mythic representation of truth,Certain,Opposed,,,,A pure gift requiring no human action or response,Certain,Opposed,Following the inner divine light,Certain,Opposed,"Salvation is an inner spiritual awakening, not exclusive to Jesus",Certain,Opposed,"The invisible, spiritual fellowship of all true believers",Certain,Opposed,"No, true authority was lost and had to be restored",Certain,Opposed,"Direct, unmediated inner spiritual communion",Certain,Opposed,"Yes, women may be ordained to any and all offices",Certain,Opposed,Water baptism is unnecessary; true baptism is purely inward,Certain,Opposed,No one; physical water baptism is not practiced,Certain,Opposed,"Seeking a tangible, supernatural manifestation",Certain,Opposed,Both flat images and statues are honored and used for devotion,Certain,Opposed,"Active today, flowing freely and ecstatically",Certain,Opposed,,,,,,,"No, these accounts are entirely symbolic",Certain,Opposed,Reincarnation into a new earthly life,Certain,Opposed,A metaphor for present earthly or psychological suffering,Certain,Opposed,"The direct, inward leading of the Holy Spirit",Certain,Opposed,,Certain,Opposed,,,,,,,Material science is irrelevant; ultimate truth is purely spiritual,Certain,Opposed,"Seeking direct, unmediated union with the Divine",Certain,Opposed,Formal schism is irrelevant; true unity is purely inward and spiritual,Certain,Extremely Accepting,
DENOM_009,Cerinthians,Gnosticism & Early Heresies,c. 100 AD,1st/2nd,Asia Minor,FALSE,0,"Taught that the ""Christ"" spirit descended on the human Jesus at baptism and left before crucifixion; rejected the creator god of the Jews but retained some Jewish observances.",Cerinthus,One God who adopted the human Jesus as His Son,Certain,Salvation issue,A distant High God; the material world is flawed or evil,Certain,Salvation issue,Scripture interpreted through a prophetic lens,Leaning,Opposed,Human insights enhanced by a spiritual influence,Leaning,Opposed,New Canon-Level Scripture Possible,Pretty Sure,Opposed,A unique messenger or governing body,Pretty Sure,Opposed,A symbolic or mythic representation of truth,Pretty Sure,Opposed,God initiates salvation; the weakened human will must actively strive to align with it,Leaning,Opposed,A foundational grace completed by strict obedience,Certain,Salvation issue,"Faith, repentance, and essential sacred rites",Certain,Salvation issue,"Salvation is an inner spiritual awakening, not exclusive to Jesus",Pretty Sure,Opposed,"A gathered, voluntary community of true believers",Leaning,Opposed,"No, true authority was lost and had to be restored",Leaning,Opposed,"Direct, unmediated inner spiritual communion",Leaning,Opposed,"No, all formal leadership and teaching roles are reserved for men",Leaning,Opposed,It is a means of grace that directly causes new birth and washes away sin,Pretty Sure,Opposed,"Believers making a conscious, personal profession of faith",Leaning,Opposed,"Seeking a tangible, supernatural manifestation",Leaning,Opposed,All religious images of the divine must be strictly avoided,Certain,Salvation issue,"Active today, flowing freely and ecstatically",Leaning,Opposed,A natural human mother; the virgin birth is not literal,Certain,Salvation issue,Unconscious in death and awaiting the resurrection,Pretty Sure,Opposed,"No, the Church endures the entire future tribulation",Leaning,Opposed,Unconscious sleep until the bodily resurrection,Leaning,Opposed,"A state of eternal, conscious separation and suffering",Leaning,Opposed,The direct commands and precepts of the Bible alone,Pretty Sure,Opposed,"Six literal days and a recent, young creation",Leaning,Opposed,A tragic but necessary evil to restrain greater evil,Leaning,Opposed,Both same-sex attraction and the acts are inherently sinful,Pretty Sure,Opposed,Material science is irrelevant; ultimate truth is purely spiritual,Leaning,Opposed,Separating from worldly corruption to pursue strict holiness,Pretty Sure,Opposed,When a church officially teaches or tolerates significant doctrinal error,Certain,Discerning,
DENOM_010,Nicolaitans,Gnosticism & Early Heresies,c. 90 AD,1st,Asia Minor,FALSE,0,Mentioned in Revelation; an antinomian group that likely taught that spiritual freedom allowed for participation in idolatrous feasts and sexual libertinism.,Nicolas (disputed),Two opposing gods or forces (Good Spirit vs. Evil Matter),Pretty Sure,Salvation issue,A distant High God; the material world is flawed or evil,Pretty Sure,Salvation issue,Scripture guided by immediate inward revelation,Pretty Sure,Salvation issue,,Certain,Opposed,New Canon-Level Scripture Possible,Pretty Sure,Discerning,A unique messenger or governing body,Leaning,Discerning,A symbolic or mythic representation of truth,Leaning,Discerning,,,,A pure gift requiring no human action or response,Pretty Sure,Opposed,Following the inner divine light,Leaning,Discerning,"Salvation is an inner spiritual awakening, not exclusive to Jesus",Leaning,Discerning,"The invisible, spiritual fellowship of all true believers",Leaning,Charitable,"No, an unbroken line of human leaders is irrelevant",Pretty Sure,Opposed,"Direct, unmediated inner spiritual communion",Pretty Sure,Opposed,,,,Water baptism is unnecessary; true baptism is purely inward,Leaning,Discerning,No one; physical water baptism is not practiced,Leaning,Opposed,Highly vocal and physically expressive worship,Leaning,Charitable,Both flat images and statues are honored and used for devotion,Certain,Salvation issue,"Active today, flowing freely and ecstatically",Leaning,Discerning,,,,,,,,,,"Immediate, conscious presence with God in heaven",Leaning,Charitable,,,,"The direct, inward leading of the Holy Spirit",Pretty Sure,Opposed,,,,,,,,Certain,Opposed,Material science is irrelevant; ultimate truth is purely spiritual,Pretty Sure,Opposed,"Seeking direct, unmediated union with the Divine",Pretty Sure,Discerning,When a church officially teaches or tolerates significant doctrinal error,Certain,Discerning,
