Family_ID,Family_Name,Founded_Century,Region_Origin,Est_Members_Global,Description
FAM_001,Apostolic & Early Christianity,1st Century,Middle East & Mediterranean,N/A (Historic),"The foundational communities reflecting the immediate post-resurrection period, encompassing early Petrine, Pauline, and Johannine traditions before institutional formalization."
FAM_002,Early Jewish Christianity,1st-2nd Century,Middle East,N/A (Historic),"Early sects that sought to strictly maintain Jewish law and customs within the Jesus movement, often rejecting the Apostle Paul and holding a lower Christology."
FAM_003,Gnosticism & Esoteric Antiquity,1st-4th Century,Mediterranean & Middle East,N/A (Historic),"Syncretic movements emphasizing secret spiritual knowledge (gnosis) for salvation, often characterized by complex emanations and rejection of material creation."
FAM_004,Early Nontrinitarians & Adoptionists,2nd-3rd Century,Mediterranean,N/A (Historic),Early attempts to understand the nature of Christ by either claiming he was a mere human adopted by God or by rejecting the concept of the divine Logos.
FAM_005,Early Schisms & Strict Observance,2nd-5th Century,North Africa & Mediterranean,N/A (Historic),"Rigorist movements that broke from the main church over disciplinary issues, often refusing to forgive lapsed Christians or disputing early liturgical calendars."
FAM_006,Historical Dualism,2nd-12th Century,Middle East & Europe,N/A (Historic),"Radical sects that believed the physical universe was created by an evil deity or Demiurge, enforcing strict asceticism and completely rejecting the Old Testament."
FAM_007,Roman Catholicism (Latin Core),1st Century,Rome & Global,~1.3 Billion,"The largest Christian tradition, tracing origins to the Apostles and defined by papal supremacy, Latin-rite liturgical tradition, and Catholic sacramental theology."
FAM_008,Eastern & Regional Catholicism,16th-19th Century,Eastern Europe & Middle East,~18 Million,"Autonomous churches in full communion with the Pope that maintain Eastern Orthodox or localized liturgical traditions, including married priesthood in some rites."
FAM_009,Traditionalist Catholicism,12th-20th Century,Europe & Global,<5 Million,Groups ranging from historic rigorist mystics to modern traditionalists who reject the reforms of Vatican II and fiercely defend the Tridentine Mass.
FAM_010,Eastern & Oriental Orthodoxy,1st Century,Middle East & Eastern Europe,~220 Million,"Historic, autocephalous churches maintaining ancient apostolic succession, highly mystical theology, and reliance on the early ecumenical councils."
FAM_011,Old Calendar & Traditionalist Orthodox,4th-20th Century,"Russia, Eastern Europe, Africa",~45 Million,"Orthodox communities characterized by strict adherence to ancient customs, unrevised liturgical calendars, or heavy retention of Old Testament practices."
