Category,Question_ID,Question_Full_Text,Theol_Cons_Lib,Social_Cons_Lib,Counter_Pro_Modernity,Supernatural_Natural,Cultural_Sep_Eng,Clerical_Egal,Divine_Human_Agency,Communal_Individual,Liturgical_Spontaneous,Sacramental_Functional,Literal_Critical,Intellectual_Experiential
"The Nature of God, Christ, & the Holy Spirit",GOD_01,Which statement best describes your understanding of the Godhead?,95,0,70,75,0,0,0,0,0,0,85,0
"The Nature of God, Christ, & the Holy Spirit",GOD_04,How does God relate to the created world and human actions?,90,0,80,85,0,0,100,0,0,0,75,0
Scripture and Authority,SCR_01,What is the ultimate source of authority for faith and practice?,95,0,85,85,0,85,0,90,0,0,70,80
Scripture and Authority,SCR_02,Which statement best describes the nature of biblical inspiration?,95,0,85,100,0,0,90,0,0,0,95,65
Scripture and Authority,SCR_07,"Is divine revelation ongoing, or did it cease with the apostolic age?",75,0,0,95,0,0,0,0,0,0,0,95
Scripture and Authority,SCR_09,Who has the authority to definitively interpret Scripture for the Church?,80,0,85,75,0,100,0,100,0,0,70,65
"Humanity, Sin, and Salvation",SAL_03,What is the primary meaning of Christ's death on the cross?,95,0,85,80,0,0,80,70,0,0,80,65
"Humanity, Sin, and Salvation",SAL_06,What is the relationship between divine sovereignty and human free will in salvation?,90,0,80,90,0,0,100,0,0,0,70,0
"Humanity, Sin, and Salvation",SAL_07,How is a person justified before God?,90,0,75,85,0,85,100,85,0,95,65,70
"Humanity, Sin, and Salvation",SAL_08,What must a person do to be saved?,90,0,75,80,0,85,100,80,0,95,65,60
"Humanity, Sin, and Salvation",SAL_14,Is faith in Jesus Christ the only way to be saved?,95,0,85,75,90,0,0,0,0,0,85,70
The Church: Its Nature and Structure,CHR_01,What is the fundamental nature of the Church?,85,0,85,80,80,95,0,90,90,90,75,0
The Church: Its Nature and Structure,CHR_09,Is there an apostolic succession of bishops necessary for a valid church?,85,0,90,80,0,100,0,80,85,85,60,0
The Church: Its Nature and Structure,CHR_10,Who mediates the relationship between the individual believer and God?,85,0,85,0,0,100,0,95,0,90,75,70
The Church: Its Nature and Structure,CHR_13,Should women be allowed to be ordained as official church leaders?,95,100,95,0,75,100,0,0,0,60,90,0
Sacraments and Rites,SAC_02,What does baptism do (or not do) in salvation?,85,0,80,80,0,0,85,80,80,100,85,70
Sacraments and Rites,SAC_03,Who is the proper recipient of baptism?,75,0,85,75,0,0,95,100,0,90,80,85
Worship and Spiritual Life,WOR_05,What is the role of emotion and personal experience in worship and faith?,70,0,85,85,0,80,0,75,100,0,0,100
Worship and Spiritual Life,WOR_06,"Is it appropriate to use physical images, icons, or statues in worship and devotion?",0,0,80,85,0,0,0,0,75,95,85,85
Worship and Spiritual Life,WOR_08,"Are spiritual gifts such as prophecy, speaking in tongues, and healing for today?",60,0,75,95,0,75,0,0,95,0,65,95
Worship and Spiritual Life,WOR_17,What is the nature and significance of Mary?,90,0,85,85,0,0,0,0,0,80,80,0
Worship and Spiritual Life,WOR_18,"What role, if any, do Mary and the departed saints have in the Christian life?",85,0,85,85,0,0,0,95,0,85,65,75
The Last Things (Eschatology),ESC_02,"Will the Church be physically removed from the earth (the ""Rapture"") before the final period of great tribulation?",85,0,95,75,85,0,0,60,0,0,100,0
The Last Things (Eschatology),ESC_06,What happens to believers immediately after death?,90,0,80,85,0,65,70,75,0,75,75,60
The Last Things (Eschatology),ESC_07,Which statement best describes the nature of final judgment and hell?,95,0,85,85,0,0,80,0,0,0,90,0
Christian Ethics and Life in the World,ETH_01,What is the primary source for making ethical decisions?,90,95,85,70,0,85,0,90,0,0,85,80
Christian Ethics and Life in the World,ETH_05,What is the biblical view on the origins of the universe and humanity?,95,0,95,100,85,0,0,0,0,0,100,0
Christian Ethics and Life in the World,ETH_06,Is participation in warfare or military service permissible for a Christian?,0,95,85,0,100,0,0,85,0,0,85,0
Christian Ethics and Life in the World,ETH_09,What is the church's appropriate stance toward same-sex relationships and sexual ethics?,95,100,95,0,85,0,0,0,0,75,95,65
Overarching Theological Approaches,MET_03,How should one approach parts of the Bible that seem to conflict with modern science or history?,95,0,90,85,75,0,0,0,0,0,100,70
Overarching Theological Approaches,MET_04,The Christian life is best understood primarily as...,90,85,80,85,100,65,70,80,75,90,60,95
