Question_ID,Category_Code,Priority_Score,Differentiation_Power, User_Familiarity,Theological_Importance,Category_Priority_Rank,Full_Question,Logical_Order_Deep
GOD_01,GOD,10,5,5,5,1,Which statement best describes your understanding of the Godhead?,1
GOD_02,GOD,9.2,5,3,5,3,"Regarding the person of Jesus Christ, what is the relationship between his divine and human natures?",2
GOD_03,GOD,7.98,5,2,4,4,What is the relationship between the Holy Spirit and the Father and the Son?,3
GOD_04,GOD,9.6,5,4,5,2,How does God relate to the created world and human actions?,4
GOD_05,GOD,7.62,3,5,4,5,What is the significance of the Virgin Birth of Jesus?,5
GOD_06,GOD,6.38,4,2,3,7,Can God experience emotion or change?,6
GOD_07,GOD,6.8,4,1,4,6,Is God's essence ultimately knowable by the human mind?,7
SCR_01,SCR,9.6,5,4,5,1,What is the ultimate source of authority for faith and practice?,8
SCR_02,SCR,9.6,5,4,5,1,Which statement best describes the nature of biblical inspiration?,9
SCR_03,SCR,7.18,4,4,3,10,"What is the proper role of creeds, confessions, and church councils?",10
SCR_04,SCR,8.38,5,3,4,5,Does the biblical canon include the Apocrypha (Deuterocanonical books)?,11
SCR_05,SCR,7.6,4,3,4,6,How should the Old Testament law apply to Christians today?,12
SCR_06,SCR,7.2,4,2,4,9,Which theological framework best describes the relationship between the biblical covenants?,13
SCR_07,SCR,9.6,5,4,5,1,"Is divine revelation ongoing, or did it cease with the apostolic age?",14
SCR_08,SCR,7.6,4,3,4,6,"Is Christian doctrine a fixed truth, or can it develop over time?",15
SCR_09,SCR,9.6,5,4,5,1,Who has the authority to definitively interpret Scripture for the Church?,16
SCR_10,SCR,7.6,4,3,4,6,What is the most appropriate method for interpreting Scripture?,17
SAL_01,SAL,9.22,4,5,5,6,What is the fundamental nature of sin?,18
SAL_02,SAL,9.2,5,3,5,8,What is the condition of humanity after the Fall?,19
SAL_03,SAL,9.6,5,4,5,3,What is the primary meaning of Christ's death on the cross?,20
SAL_04,SAL,7.16,5,2,3,14,Can Christians intentionally offer their sufferings to God in a way that contributes to the spiritual good or atonement of other people?,21
SAL_05,SAL,9.22,4,5,5,6,"What does the ""gospel"" primarily refer to?",22
SAL_06,SAL,9.6,5,4,5,3,What is the relationship between divine sovereignty and human free will in salvation?,23
SAL_07,SAL,9.6,5,4,5,3,How is a person justified before God?,24
SAL_08,SAL,10,5,5,5,1,What is required for a person to be saved?,25
SAL_09,SAL,7.2,4,2,4,13,What is the role of the Holy Spirit in regeneration in relation to human faith?,26
SAL_10,SAL,8.78,5,4,4,10,"Through what means, and at what point, is a person spiritually regenerated or born again?",27
SAL_11,SAL,8.38,5,3,4,11,What is the nature and timing of the 'baptism in the Holy Spirit' in relation to conversion?,28
SAL_12,SAL,8.38,5,3,4,11,"What is the nature of sanctification, the process of becoming holy?",29
SAL_13,SAL,9.18,5,5,4,9,Can a person who is truly saved ultimately lose their salvation?,30
SAL_14,SAL,10,5,5,5,1,Is faith in Jesus Christ the only way to be saved?,31
CHR_01,CHR,9.6,5,4,5,1,What is the fundamental nature of the Church?,32
CHR_02,CHR,7.6,4,3,4,12,"Is the Church primarily a local, gathered community or a universal, institutional reality?",33
CHR_03,CHR,8.78,5,4,4,6,What defines membership in the Church?,34
CHR_04,CHR,8.38,5,3,4,8,"Is salvation possible outside the visible, institutional ""true Church""?",35
CHR_05,CHR,7.18,4,4,3,15,What should be the Church's approach to ecumenical dialogue and cooperation with other Christian denominations?,36
CHR_06,CHR,7.18,4,4,3,15,How much formal instruction in Christian doctrine should be required before someone becomes a church member?,37
CHR_07,CHR,8.38,5,3,4,8,What is the proper form of church government (polity)?,38
CHR_08,CHR,8.36,5,5,3,10,What title do you typically use for your primary local church leader?,39
CHR_09,CHR,9.2,5,3,5,3,Is there an apostolic succession of bishops necessary for a valid church?,40
CHR_10,CHR,9.6,5,4,5,1,Who mediates the relationship between the individual believer and God?,41
CHR_11,CHR,7.18,4,4,3,15,What are the requirements for ordination to pastoral ministry or the priesthood?,42
CHR_12,CHR,5.58,3,4,2,20,What level of formal theological education should be required for ordination to pastoral ministry?,43
CHR_13,CHR,9.18,5,5,4,5,Should women be allowed to be ordained as official church leaders?,44
CHR_14,CHR,7.18,4,4,3,15,How should the church relate to members who are in unrepentant sin?,45
CHR_15,CHR,7.6,4,3,4,12,What is the ideal relationship between the Church and the state?,46
CHR_16,CHR,8,4,4,4,11,What is the primary purpose of Christian mission (missiology)?,47
CHR_17,CHR,6.8,3,5,3,19,What is the duty of individual Christians regarding evangelism and sharing their faith?,48
CHR_18,CHR,7.6,4,3,4,12,What is the significance of the Jewish people after the coming of Christ?,49
CHR_19,CHR,9.2,5,3,5,3,When is schism or formal separation from a church body morally justified?,50
CHR_20,CHR,8.78,5,4,4,6,Who has the legitimate authority to establish a new church or congregation?,51
SAC_01,SAC,9.6,5,4,5,3,Are there more than two sacraments/ordinances?,52
SAC_02,SAC,10,5,5,5,1,What does baptism do (or not do) in salvation?,53
SAC_03,SAC,10,5,5,5,1,Who is the proper recipient of baptism?,54
SAC_04,SAC,7.18,4,4,3,7,Is a specific mode of baptism required for it to be valid?,55
SAC_05,SAC,9.6,5,4,5,3,What is the nature of Christ's presence in the Lord's Supper (Eucharist)?,56
SAC_06,SAC,6.8,3,5,3,8,How often should the Lord's Supper be observed?,57
SAC_07,SAC,8.78,5,4,4,5,Is confession of sins to a priest or pastor necessary for forgiveness?,58
SAC_08,SAC,6.78,4,3,3,9,What is the purpose of anointing the sick with oil?,59
